fill	x	y	showSelectedlegendfill	clickSelects
#619CFF	3.1	6.7	virginica	141
#619CFF	3.1	6.9	virginica	142
#619CFF	2.7	5.8	virginica	143
#619CFF	3.2	6.8	virginica	144
#619CFF	3.3	6.7	virginica	145
#619CFF	3	6.7	virginica	146
#619CFF	2.5	6.3	virginica	147
#619CFF	3	6.5	virginica	148
#619CFF	3.4	6.2	virginica	149
#619CFF	3	5.9	virginica	150
