fill	x	y	showSelectedlegendfill	clickSelects
#00BA38	1.3	4.1	versicolor	100
#619CFF	2.5	6	virginica	101
#619CFF	1.9	5.1	virginica	102
#619CFF	2.1	5.9	virginica	103
#619CFF	1.8	5.6	virginica	104
#619CFF	2.2	5.8	virginica	105
#619CFF	2.1	6.6	virginica	106
#619CFF	1.7	4.5	virginica	107
#619CFF	1.8	6.3	virginica	108
#619CFF	1.8	5.8	virginica	109
#619CFF	2.5	6.1	virginica	110
#619CFF	2	5.1	virginica	111
#619CFF	1.9	5.3	virginica	112
#619CFF	2.1	5.5	virginica	113
#619CFF	2	5	virginica	114
#619CFF	2.4	5.1	virginica	115
#619CFF	2.3	5.3	virginica	116
#619CFF	1.8	5.5	virginica	117
#619CFF	2.2	6.7	virginica	118
#619CFF	2.3	6.9	virginica	119
#619CFF	1.5	5	virginica	120
#619CFF	2.3	5.7	virginica	121
#619CFF	2	4.9	virginica	122
#619CFF	2	6.7	virginica	123
#619CFF	1.8	4.9	virginica	124
#619CFF	2.1	5.7	virginica	125
#619CFF	1.8	6	virginica	126
#619CFF	1.8	4.8	virginica	127
#619CFF	1.8	4.9	virginica	128
#619CFF	2.1	5.6	virginica	129
#619CFF	1.6	5.8	virginica	130
#619CFF	1.9	6.1	virginica	131
#619CFF	2	6.4	virginica	132
#619CFF	2.2	5.6	virginica	133
#619CFF	1.5	5.1	virginica	134
#619CFF	1.4	5.6	virginica	135
#619CFF	2.3	6.1	virginica	136
#619CFF	2.4	5.6	virginica	137
#619CFF	1.8	5.5	virginica	138
#619CFF	1.8	4.8	virginica	139
#619CFF	2.1	5.4	virginica	140
#619CFF	2.4	5.6	virginica	141
#619CFF	2.3	5.1	virginica	142
#619CFF	1.9	5.1	virginica	143
#619CFF	2.3	5.9	virginica	144
#619CFF	2.5	5.7	virginica	145
#619CFF	2.3	5.2	virginica	146
#619CFF	1.9	5	virginica	147
#619CFF	2	5.2	virginica	148
#619CFF	2.3	5.4	virginica	149
#619CFF	1.8	5.1	virginica	150
